event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE42295,2023-12-04,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Refugees/IDPs (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 4 December 2023, Israeli warplanes struck houses in An Nusayrat refugee camp (Deir El Balah, Gaza Strip), killing at least a child. Meanwhile artillery struck targets in the refugee camp.",1,,1715641883
IRN9750,2021-05-19,2021,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Iran),,Political militia,Civilians (Iran),Baloch Ethnic Group (Iran),Civilians,Political militia-Civilians,Civilian targeting,364,Middle East,Iran,Sistan and Baluchestan,Chabahar,Central,Chabahar,25.2919,60.643,1,Baloch Campaign; Radio Zamaneh,Other-International,"On 19 May 2021, unknown armed actors shot a Baloch civilian outside a mosque in Chabahar city (Sistan and Baluchestan) who died 5 days later of his injuries. Local activists cited the distribution of weapons and alleged deliberate sowing of discord by the Islamic Revolutionary Guard Corps as possible contributing factors to the attack.",1,,1622485672
SYR87566,2021-02-18,2021,1,Political violence,Violence against civilians,Abduction/forced disappearance,QSD: Syrian Democratic Forces,,Rebel group,Civilians (Syria),Refugees/IDPs (Syria),Civilians,Rebel group-Civilians,Civilian targeting,760,Middle East,Syria,Deir ez Zor,Deir ez Zor,Basira,Al Sabkhah,35.2012,40.4263,2,Facebook,New media,"On 18 February 2021, QSD detained several young men during a raid on a refugee camp in the vicinity of Al Sabkhah in the countryside of Deir-ez-Zor for unknown reasons.",0,,1720478699
PSE20677,2020-08-25,2020,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2009-2021),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Palestine,West Bank,Nablus,,Qaryut,32.0709,35.294,1,PLO Negotiations Affairs Department,Other,"On 25 August 2020, Palestinians threw stones at Israeli forces during their raid into Qaryut village (Nablus). The Israeli forces replied by firing sound and tear gas canisters.",0,crowd size=no report,1715049876
IRQ14031,2018-09-14,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Iraq),,Protesters,,,,Protesters only,,368,Middle East,Iraq,Al Basrah,Al Basrah,Markaz Al Basrah,Basrah,30.533,47.7975,1,Yaqein,National,"On 14 September 2018, protesters in Basrah city, in southern Iraq went back out to the streets demanding clean water and an improvement of the service sector.",0,,1650490673
ISR41950,2024-09-20,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hezbollah,,Political militia,,,,Political militia only,,376,Middle East,Israel,HaZafon,Zefat,Eastern Upper Galilee,Safed,32.9647,35.496,1,Haaretz; Jerusalem Post; Liveuamap; News 0404; Ynet,Local partner-New media,"On 20 September 2024, Hezbollah forces in Lebanon fired over 200 rockets toward nothern Israel and the Golan Heights, at least one of which fell in Safed (Zefat, HaZafon), sparking a fire near a playground. No casualties occurred.",0,,1727134523
SYR61716,2019-06-02,2019,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-),Military Forces of Russia (2000-); Military Forces of Syria (2000-) Syrian Arab Air Defense Force,State forces,,,,State forces only,,760,Middle East,Syria,Hama,As Suqaylabiyah,Ziyara,Al-Hamidiah,35.6547,36.3885,1,Liveuamap; SHAAM,Local partner-New media,"On 2 June 2019, regime and Russian warplanes conducted airstrikes on al-Hamidiah in northern Hama countryside amid regime barrel bomb deployment and artillery and rocket fire attacks. Neither fatalities nor injuries were reported.",0,,1720478475
YEM48576,2018-05-10,2018,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Yemen (2017-) Houthi,,State forces,Military Forces of Yemen (2012-2022) Hadi,,State forces,State forces-State forces,,887,Middle East,Yemen,Sadah,Kitaf wa Al Boqee,,As Sudais,17.3883,44.1491,2,Yemen Data Project; Yemen News Agency SABA,Local partner-National,Pro-Houthi forces claim to have destroyed a military vehicle of Saudi-affiliated (but unidentified in the source) forces west of Sudais mountain area in Najran governorate. No casualties were reported. The language of the source seems to indicate that an IED was used. *ACLED defaults to coding the event on the Yemeni side when the source describes a large area along the Saudi-Yemeni border.,0,,1727740416
BHR168,2017-08-25,2017,1,Demonstrations,Protests,Protest with intervention,Protesters (Bahrain),Shiite Muslim Group (Bahrain),Protesters,Police Forces of Bahrain (1999-),,State forces,State forces-Protesters,,48,Middle East,Bahrain,Northern,,,Buri,26.1514,50.4975,1,Bahrain Mirror; FARS News Agency (Iran),National-International,"An unspecified number of Bahraini took to the streets in the village of Buri, Northern governorate, to call for the end of Sheikh Isa Qassim's house arrest, the end of discriminatory policies against Shias and the release of political prisoners. Police intervened to disperse the protests.",0,,1644271364
SYR94506,2021-09-13,2021,1,Strategic developments,Strategic developments,Change to group/activity,Military Forces of Turkey (2016-),,External/Other forces,,,,External/Other forces only,,760,Middle East,Syria,Idleb,Harim,Dana,Kafr Lusin,36.2555,36.7148,3,Liveuamap; SOHR,Local partner-New media,"Movement of forces: On 13 September 2021, a Turkish military convoy carrying military equipment and logistical supplies entered the Syrian territories via Kafr Lusin border crossing, and headed to their bases in Idleb province.",0,,1720478775
